T,Sunergy-370W,Luxen-450W
1288,0.250434685,0.307178343
1289,0.2082699,0.255073158
1290,0.13230008,0.16163433
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,0,0
1296,0,0
1297,0,0
1298,0,0
1299,0,0
1300,0,0
1301,0,0
1302,0,0
1303,0,0
1304,0.009784803,0.011911469
1305,0.08566616,0.104495501
1306,0.164219868,0.200764049
1307,0.244477863,0.299641358
1308,0.308223315,0.378630201
1309,0.337592044,0.415180192
1310,0.342438425,0.421274262
1311,0.322024042,0.395878558
1312,0.27873492,0.342137739
1313,0.214145768,0.262269795
1314,0.135617061,0.165697527
1315,0,0
1316,0,0
1317,0,0
1318,0,0
1319,0,0
1320,0,0
1321,0,0
1322,0,0
1323,0,0
1324,0,0
1325,0,0
1326,0,0
1327,0,0
1328,0.011482528,0.013978594
1329,0.061910451,0.075460523
1330,0.152545682,0.186378745
1331,0.252749699,0.309699211
1332,0.227076022,0.278028492
1333,0.266269628,0.326399542
1334,0.198924862,0.243374344
1335,0.242974863,0.297649158
1336,0.259562776,0.318144504
1337,0.195134344,0.238722349
1338,0.136747267,0.167035206
1339,0,0
1340,0,0
1341,0,0
1342,0,0
1343,0,0
1344,0,0
1345,0,0
1346,0,0
1347,0,0
1348,0,0
1349,0,0
1350,0,0
1351,0,0
1352,0.008340876,0.010153233
1353,0.09571968,0.116775445
1354,0.153930647,0.188094598
1355,0.228424724,0.279739533
1356,0.279981718,0.343463144
1357,0.341541121,0.419935589
1358,0.329780659,0.405400884
1359,0.327127194,0.402174854
1360,0.278388223,0.341690576
1361,0.217087404,0.265907686
1362,0.136830343,0.167170806
1363,0,0
1364,0,0
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,0
1370,0,0
1371,0,0
1372,0,0
1373,0,0
1374,0,0
1375,0,0
1376,0.012191185,0.01484236
1377,0.090687193,0.110632409
1378,0.116901647,0.142714111
1379,0.234762628,0.287632403
1380,0.232355357,0.284669043
1381,0.33601432,0.413192891
1382,0.275979064,0.338687094
1383,0.279316108,0.342840488
1384,0.256024101,0.31402195
1385,0.215872858,0.264387374
1386,0.102044495,0.124536961
1387,0,0
1388,0,0
1389,0,0
1390,0,0
1391,0,0
1392,0,0
1393,0,0
1394,0,0
